index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
5625,( == ( max ( min ( max ( / ( - 72 ( * v0 16 ) ) 65 ) 0 ) ( / ( + ( * ( min ( - ( - ( / ( + ( + v1 v2 ) 15 ) 16 ) ( * v3 8 ) ) ( / v2 16 ) ) 7 ) 16 ) 82 ) 65 ) ) ( + ( / ( min ( min ( - -47 ( * ( max ( + ( / v2 16 ) ( - ( * v3 8 ) ( / ( + ( + v1 v2 ) 15 ) 16 ) ) ) -7 ) 16 ) ) ( - 1943 ( * v0 16 ) ) ) ( + ( * ( min ( - ( - ( / ( + ( + v1 v2 ) 15 ) 16 ) ( * v3 8 ) ) ( / v2 16 ) ) 7 ) 16 ) 17 ) ) 65 ) 1 ) ) ( max ( min ( max ( / ( - 72 ( * v0 16 ) ) 65 ) 0 ) ( / ( + ( * ( min ( - ( - ( / ( + ( + v1 v2 ) 15 ) 16 ) ( * v3 8 ) ) ( / v2 16 ) ) 7 ) 16 ) 82 ) 65 ) ) ( + ( / ( min ( min ( - -47 ( * ( max ( + ( / v2 16 ) ( - ( * v3 8 ) ( / ( + ( + v1 v2 ) 15 ) 16 ) ) ) -7 ) 16 ) ) ( - 1943 ( * v0 16 ) ) ) ( + ( * ( min ( - ( - ( / ( + ( + v1 v2 ) 15 ) 16 ) ( * v3 8 ) ) ( / v2 16 ) ) 7 ) 16 ) 17 ) ) 65 ) 1 ) ) ),1/0,true,1,-1,1,95,0,0.000190434,Goal 1 Matched,
5626,( == ( * ( min ( / v0 4 ) 0 ) 4 ) ( - ( + ( * ( min ( / v0 4 ) 0 ) 4 ) ( + ( * v1 4 ) 4 ) ) 1 ) ),1/0,true,0,-1,7,6217,704,0.023337674,Goal 0 Matched,
5627,( == ( * ( / ( * ( min ( * ( min ( + ( * v1 8 ) ( + ( * ( / v2 250 ) 32 ) ( * v3 156 ) ) ) ( + ( * ( / ( + ( + v4 v2 ) 249 ) 250 ) 32 ) 54 ) ) 8 ) ( + ( * v1 64 ) ( + ( + ( * ( / v2 250 ) 256 ) ( * v3 1248 ) ) 7 ) ) ) -1 ) 4 ) 4 ) ( * ( min ( * ( min ( + ( * v1 8 ) ( + ( * ( / v2 250 ) 32 ) ( * v3 156 ) ) ) ( + ( * ( / ( + ( + v4 v2 ) 249 ) 250 ) 32 ) 54 ) ) 8 ) ( + ( * v1 64 ) ( + ( + ( * ( / v2 250 ) 256 ) ( * v3 1248 ) ) 7 ) ) ) -1 ) ),1/0,true,1,-1,6,6177,1324,0.027319671,Goal 1 Matched,
5628,( == ( min ( + ( max ( min ( + ( * v0 4 ) ( + v1 v2 ) ) 1999 ) 0 ) ( * ( / ( + v3 7 ) 4 ) 4 ) ) ( + ( max ( min ( + ( * v0 4 ) ( + v1 v2 ) ) 1996 ) -3 ) 4 ) ) ( min ( + ( max ( min ( + ( * v0 4 ) ( + v1 v2 ) ) 1999 ) 0 ) ( * ( / ( + v3 7 ) 4 ) 4 ) ) ( + ( max ( min ( + ( * v0 4 ) ( + v1 v2 ) ) 1996 ) -3 ) 4 ) ) ),1/0,true,1,-1,1,60,0,0.000162089,Goal 1 Matched,
5629,( == ( + ( max ( min ( / v0 16 ) 126 ) 2 ) ( * v1 4 ) ) ( + ( max ( min ( / v0 16 ) 126 ) 2 ) ( * v1 4 ) ) ),1/0,true,1,-1,1,25,0,0.00011971900000000001,Goal 1 Matched,
5630,( == ( + ( min ( + ( * v0 4 ) 4 ) v1 ) ( / v2 8 ) ) ( + ( min ( + ( * v0 4 ) 4 ) v1 ) ( / v2 8 ) ) ),1/0,true,1,-1,1,24,0,0.00011792999999999999,Goal 1 Matched,
5631,( != ( / ( + v0 42 ) 15 ) 0 ),1/0,false,(!= (/ (+ v0 42) 15) 0),-1,1,10,0,0.000095573,Impossible (!= (/ (+ ?a ?x) ?b) ?c) Matched,
5632,( == ( min ( + ( * v0 8 ) 99 ) v1 ) ( min ( + ( * v0 8 ) 99 ) v1 ) ),1/0,true,1,-1,1,16,0,0.000105381,Goal 1 Matched,
5633,( == ( - v0 ( * ( + ( * v1 8 ) ( + ( * v2 4 ) ( + ( * v3 2 ) v4 ) ) ) 4 ) ) ( - v0 ( * ( + ( * v1 8 ) ( + ( * v2 4 ) ( + ( * v3 2 ) v4 ) ) ) 4 ) ) ),1/0,true,1,-1,1,33,0,0.00011822699999999999,Goal 1 Matched,
5634,( == ( - ( max ( min ( * ( + ( / v0 125 ) v1 ) 16 ) 220 ) -29 ) ( max ( min ( * ( / v0 125 ) 16 ) 286 ) 37 ) ) ( - ( max ( min ( * ( + ( / v0 125 ) v1 ) 16 ) 220 ) -29 ) ( max ( min ( * ( / v0 125 ) 16 ) 286 ) 37 ) ) ),1/0,true,1,-1,1,43,0,0.000140892,Goal 1 Matched,
