index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
5684,( min ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 32 ) ( / ( + ( + 0 ( / ( - ( + ( min v0 98 ) v1 ) 98 ) 16 ) ) 1 ) 2 ) ),(min (/ (+ (+ v1 (min v0 98)) -98) 32) (/ (/ (+ v1 (+ (min v0 98) -82)) 16) 2)),true,(min (/ (+ (+ v1 (min v0 98)) -98) 32) (/ (/ (+ v1 (+ (min v0 98) -82)) 16) 2)),-1,91,99848,18850,5.0065024519999985,Time Limit : 5.00172501,,( / ( - ( + ( min v0 98 ) v1 ) 98 ) 32 ),39.0
5685,( max ( / ( + ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 1 ) 2 ) ( / ( + 7 ( - ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 7 ) ) 2 ) ),(/ (/ (min (+ v0 (+ v1 2)) (+ 8 (+ (+ v1 (min v0 8)) (* 16 (/ (+ (- (/ (+ v0 v1) 2) (/ (+ v1 (min v0 8)) 2)) 4) 8))))) 2) 2),true,(/ (/ (min (+ v0 (+ v1 2)) (+ 8 (+ (+ v1 (min v0 8)) (* 16 (/ (+ (- (/ (+ v0 v1) 2) (/ (+ v1 (min v0 8)) 2)) 4) 8))))) 2) 2),-1,82,64034,4732,5.004058547999999,Time Limit : 5.000425314,,( / ( + ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 1 ) 2 ),63.0
5686,( min ( - ( * v0 2 ) 1 ) ( + ( * v0 2 ) 2 ) ),(+ (+ v0 v0) -1),true,(+ (+ v0 v0) -1),-1,49,34022,5742,5.012938218,Time Limit : 5.010539574,,( - ( * v0 2 ) 1 ),7.0
5687,( + 63 ( - ( + v0 v1 ) 64 ) ),(+ v0 (+ v1 -1)),true,(+ v0 (+ v1 -1)),-1,6,55,0,0.000447673,Saturation,,( - ( + v0 v1 ) 1 ),10.0
5688,( / ( + ( + ( - ( + 64 0 ) 1 ) v0 ) 3 ) 4 ),(/ (+ v0 66) 4),true,(/ (+ v0 66) 4),-1,4,19,0,0.00021898200000000003,Saturation,,( / ( + v0 66 ) 4 ),3.0
5689,( + 0 ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ),(/ (+ v1 (+ -26 (min v0 26))) 4),true,(/ (+ v1 (+ -26 (min v0 26))) 4),-1,97,122975,8746,5.0067163190000015,Time Limit : 5.000327974,,( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ),5.0
5690,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( + ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 2 ) ),"(+ 2 (* 2 (min v0 (+ (""%"" (- v1 v0) 8) (+ v0 7)))))",true,"(+ 2 (* 2 (min v0 (+ (""%"" (- v1 v0) 8) (+ v0 7)))))",-1,31,41163,2610,5.002492538,Time Limit : 5.000384437,,( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ),25.0
5691,( - ( / ( + v0 v1 ) 4 ) v2 ),(- (/ (+ v0 v1) 4) v2),true,(- (/ (+ v0 v1) 4) v2),-1,10,42,1,0.000863898,Saturation,,( - ( / ( + v0 v1 ) 4 ) v2 ),4.0
5692,( + ( - v0 v1 ) ( * ( + v2 v3 ) v4 ) ),(+ (- v0 v1) (* (+ v2 v3) v4)),true,(+ (- v0 v1) (* (+ v2 v3) v4)),-1,8,67,1,0.000747119,Saturation,,( + ( * ( + v3 v2 ) v4 ) ( - v0 v1 ) ),4.0
5693,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 1 ) ( + ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 2 ) ),"(max (+ 1 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7)))) (+ 2 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7)))))",true,"(max (+ 1 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7)))) (+ 2 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7)))))",-1,61,269322,16872,5.027832843000001,Time Limit : 5.001784745,,( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ),28.0
