index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
5106,( min ( min ( min ( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ) ( - ( * ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) 2 ) 1 ) ) ( - v2 7 ) ) v3 ),(min (/ (- (+ v1 (min v0 386)) 386) 64) (min (+ (* (/ (+ (min v0 770) (+ v1 -770)) 128) 2) -1) (min (- v2 7) v3))),true,(min (/ (- (+ v1 (min v0 386)) 386) 64) (min (+ (* (/ (+ (min v0 770) (+ v1 -770)) 128) 2) -1) (min (- v2 7) v3))),-1,54,48899,13722,5.003866598000002,Time Limit : 5.000777767,,( min ( min ( min ( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ) ( - ( * ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) 2 ) 1 ) ) ( - v2 7 ) ) v3 ),9.0
5107,( - ( * ( max ( - ( min v0 3 ) 1 ) v1 ) v2 ) v3 ),(- (* v2 (max (+ -1 (min 3 v0)) v1)) v3),true,(- (* v2 (max (+ -1 (min 3 v0)) v1)) v3),-1,63,104728,11538,5.2133208710000005,Time Limit : 5.202522531,,( - ( * ( max ( - ( min v0 3 ) 1 ) v1 ) v2 ) v3 ),6.0
5108,( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 64 ) 64 ) v3 ) ( - v2 63 ) ) 2 ) 128 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 128 ) 128 ) v5 ) 127 ) v4 ) ),(max (+ 2 (* v2 2)) (max (/ (+ (+ v0 v1) 6) 8) v4)),true,(max (+ 2 (* v2 2)) (max (/ (+ (+ v0 v1) 6) 8) v4)),-1,37,31404,4730,5.817964851,Time Limit : 5.816147505,,( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 64 ) 64 ) v3 ) ( - v2 63 ) ) 2 ) 128 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 128 ) 128 ) v5 ) 127 ) v4 ) ),25.0
5109,( max ( + ( * v0 2 ) 2 ) ( + ( * v0 2 ) 1 ) ),(+ 2 (+ v0 v0)),true,(+ 2 (+ v0 v0)),-1,33,25036,6713,5.560315601,Time Limit : 5.558838877,,( + ( * v0 2 ) 2 ),22.0
5110,( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),(+ (/ (+ v1 (min v0 8)) 2) -4),true,(+ (/ (+ v1 (min v0 8)) 2) -4),-1,71,96637,7894,5.01864033,Time Limit : 5.011858044,,( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),4.0
5111,( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ),(max (+ 2 (* (min v2 (+ (+ v3 (* 8 (/ (- v2 v3) 8))) 7)) 2)) (max (/ (+ (+ v0 v1) 6) 8) (min v4 (+ 7 (+ v5 (* 8 (/ (- v4 v5) 8))))))),true,(max (+ 2 (* (min v2 (+ (+ v3 (* 8 (/ (- v2 v3) 8))) 7)) 2)) (max (/ (+ (+ v0 v1) 6) 8) (min v4 (+ 7 (+ v5 (* 8 (/ (- v4 v5) 8))))))),-1,69,61898,7643,5.006079315000001,Time Limit : 5.001886591,,( max ( max ( / ( + ( + v0 v1 ) 6 ) 8 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 8 ) 8 ) v5 ) 7 ) v4 ) ),41.0
5112,( + 0 ( - ( + ( min v0 64 ) v1 ) 64 ) ),(+ (min v0 64) (+ v1 -64)),true,(+ (min v0 64) (+ v1 -64)),-1,83,90750,9135,5.0088727230000005,Time Limit : 5.003212487,,( - ( + ( min v0 64 ) v1 ) 64 ),12.0
5113,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 1 ) ( + ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) 1 ) ),"(+ 1 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7))))",true,"(+ 1 (* 2 (min v0 (+ (+ v0 (""%"" (- v1 v0) 8)) 7))))",-1,26,36411,2520,5.738243670000001,Time Limit : 5.735017047,,( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 1 ),14.0
5114,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,true,0,-1,60,100446,309919,7.032196235,Time Limit : 6.013871888,,0,16.0
5115,( + 31 ( min ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) ( - v0 31 ) ) ),v0,true,v0,-1,37,17816,4206,5.192539588000002,Time Limit : 5.191323695,,( min ( + ( + ( * ( / ( - v0 v1 ) 32 ) 32 ) v1 ) 31 ) v0 ),8.0
