index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition,halide_result,halide_time
28202,( != ( / ( + ( * v0 16 ) 56 ) 35 ) 0 ),1/0,false,(!= (/ (+ (* v0 16) 56) 35) 0),-1,1,13,0,0.000103938,Impossible (!= (/ (+ ?a (* ?x ?b)) ?c) ?d) Matched,,false,448.0
28203,( == 0 ( - ( + 0 ( + ( * ( max v0 -1 ) 8 ) 8 ) ) 1 ) ),1/0,true,0,-1,4,91,5,0.000604513,Goal 0 Matched,,false,82.0
28206,( != ( / ( + ( - v0 v1 ) 105 ) 68 ) 0 ),1/0,false,(!= (/ (+ 105 (- v0 v1)) 68) 0),-1,11,140,56,0.002973836,Saturation,,false,474.0
28224,( >= ( - ( * ( max ( min v0 14 ) -4 ) 8 ) 117 ) ( - ( + ( - ( * ( max ( min v0 14 ) -4 ) 8 ) 117 ) ( - 123 ( * ( max ( min v0 14 ) -4 ) 8 ) ) ) 1 ) ),1/0,true,0,-1,6,3307,784,0.010433069,Goal 0 Matched,,false,82.0
28231,( == ( * ( / ( * ( min ( * ( % v0 8 ) 252 ) 1752 ) -1 ) 4 ) 4 ) ( * ( min ( * ( % v0 8 ) 252 ) 1752 ) -1 ) ),1/0,true,1,-1,7,417,350,0.0047476490000000005,Goal 1 Matched,,false,913.0
28238,( == ( * ( / ( max ( min ( + ( * v1 -1000 ) ( - ( max ( + v2 v3 ) 1 ) ( min v3 1999 ) ) ) 1000 ) 0 ) 4 ) 4 ) ( max ( min ( + ( * v1 -1000 ) ( - ( max ( + v2 v3 ) 1 ) ( min v3 1999 ) ) ) 1000 ) 0 ) ),1/0,false,"(== 0 (""%"" (max (* 1000 v1) (min (+ 1000 (* 1000 v1)) (+ (max 1 (+ v3 v2)) (max (* -1 v3) -1999)))) 4))",-1,13,7980,1006,3.127985348000001,Time Limit : 0.100055718,,false,1080.0
28239,( == ( * ( / ( min ( + ( * v3 -4 ) ( max ( - ( min ( / ( + ( + v2 ( min ( * v4 125 ) ( - v5 125 ) ) ) 132 ) 8 ) 249 ) ( max ( min ( / ( + v2 ( min ( * v4 125 ) ( - v5 125 ) ) ) 8 ) 249 ) 0 ) ) 0 ) ) 2 ) 2 ) 2 ) ( min ( + ( * v3 -4 ) ( max ( - ( min ( / ( + ( + v2 ( min ( * v4 125 ) ( - v5 125 ) ) ) 132 ) 8 ) 249 ) ( max ( min ( / ( + v2 ( min ( * v4 125 ) ( - v5 125 ) ) ) 8 ) 249 ) 0 ) ) 0 ) ) 2 ) ),1/0,false,"(== 0 (""%"" (+ (min (max (max -249 (/ (min (+ v2 (+ v5 7)) (+ (* 125 v4) (+ v2 132))) -8)) (min 0 (/ (min (+ v2 (* 125 v4)) (+ v5 (+ v2 -125))) -8))) (+ (max -249 (/ (min (+ v2 (+ v5 7)) (+ (* 125 v4) (+ v2 132))) -8)) (+ 2 (* 4 v3)))) (min 249 (/ (min (+ v2 (+ v5 7)) (+ (* 125 v4) (+ v2 132))) 8))) 2))",-1,11,11314,430,3.1294615920000006,Time Limit : 0.100080732,,false,2040.0
28241,( != v0 0 ),1/0,false,(!= v0 0),-1,1,5,0,0.000084893,Impossible (!= ?a ?x) Matched,,false,1409.0
28247,( <= ( max ( + ( min 30 ( - ( + v1 8 ) 1 ) ) 1 ) ( min ( max 0 v1 ) ( + 8 v1 ) ) ) ( min ( max 0 v1 ) ( + 8 v1 ) ) ),1/0,false,(<= (+ 7 (min v1 23)) (+ (max v1 0) -1)),-1,7,10055,1729,0.160448488,Impossible (! (&& (< ?a ?x) (< ?x ?b))) Matched,,false,801.0
28259,( >= ( + ( * v0 2 ) 3 ) ( - ( + ( + ( * v0 2 ) 3 ) 2 ) 1 ) ),1/0,true,0,-1,5,423,75,0.0014507220000000002,Goal 0 Matched,,false,37.0
